model,seq_len,d_chunk,train,forward,criterion,backward,optimizer,test,min_loss,peak_memory/MB,fake_loss
Torch,128,16,3.122792788,1.042583418,0.015579996,1.844210281,0.111398239,0.252924304,2.500415511,673.7412109,
Torch,128,16,3.074267673,0.988071404,0.015536847,1.849707212,0.11120182,0.241238804,2.596238688,673.7412109,
Torch,128,16,3.263268781,1.015191035,0.015354786,1.847270966,0.111138783,0.247392578,2.484237705,673.7412109,
Torch,128,16,3.153443081,1.015281952,0.015490543,1.84706282,0.111246281,0.247185229,2.526963968,673.7412109,
Torch,256,16,8.192094898,2.577846985,0.016949887,5.352940564,0.114276757,0.608513341,2.755983975,1327.491211,
Torch,256,16,8.141990757,2.507549858,0.01683969,5.372938623,0.113963761,0.594007635,2.754861765,1327.491211,
Torch,256,16,8.151365047,2.524168587,0.017010179,5.364578137,0.114399271,0.597540259,2.642896246,1327.491211,
Torch,256,16,8.161816901,2.53652181,0.016933252,5.363485775,0.114213263,0.600020412,2.717913996,1327.491211,
Torch,512,16,24.03106297,7.430906587,0.021182504,16.2719382,0.131910763,1.677632365,3.102401959,2635.616211,
Torch,512,16,23.69775557,7.048910813,0.020467525,16.33761012,0.129293537,1.58976512,2.989209506,2635.616211,
Torch,512,16,24.02489393,7.43735877,0.020368996,16.27388199,0.129582286,1.678026457,2.762867945,2635.616211,
Torch,512,16,23.91790416,7.30572539,0.020673008,16.29447677,0.130262195,1.648474647,2.951493137,2635.616211,
Torch,1024,16,77.91321857,24.30891413,0.027061596,53.20020015,0.150817127,5.229973435,2.918970557,5250.866211,
Torch,1024,16,77.37691047,23.71890267,0.027285471,53.25847308,0.152699914,5.071574488,3.151539028,5250.866211,
Torch,1024,16,77.86488507,24.24646713,0.027692862,53.21846267,0.153003235,5.215461111,3.183564071,5250.866211,
Torch,1024,16,77.71833804,24.09142798,0.027346643,53.22571197,0.152173425,5.172336345,3.084691219,5250.866211,
Base,128,16,4.757785392,1.680155969,0.017586598,2.472173281,0.131504116,0.365980706,2.737912412,1428.625,
Base,128,16,5.273531256,1.704996576,0.017408862,2.478279309,0.131835184,0.371126471,2.530289263,1428.625,
Base,128,16,5.277563648,1.684977112,0.017331138,2.479401646,0.131743617,0.367052922,2.66386742,1428.625,
Base,128,16,5.102960099,1.690043219,0.017442199,2.476618079,0.131694306,0.368053366,2.644023032,1428.625,
Base,256,16,14.61606133,5.034213543,0.020272779,7.871348796,0.139859228,1.026234555,2.816556864,4669.519043,
Base,256,16,14.24766657,5.030175114,0.020225973,7.868247166,0.140636134,1.026302533,2.792629653,4669.519043,
Base,256,16,13.42998263,5.032417121,0.020307479,7.866306415,0.141122284,1.026635141,2.651034655,4669.519043,
Base,256,16,14.09790351,5.032268593,0.020268744,7.868634125,0.140539215,1.026390743,2.753407057,4669.519043,
Base,512,16,44.30045212,16.32011368,0.027918487,27.60703105,0.171890936,3.226593723,2.837095835,17126.89404,
Base,512,16,44.28875604,16.31079982,0.028432245,27.59975322,0.174243054,3.226886873,3.009964351,17126.89404,
Base,512,16,44.28791152,16.30868569,0.028362417,27.60040802,0.175203481,3.22624361,3.019419052,17126.89404,
Base,512,16,44.29237322,16.31319973,0.028237716,27.60239743,0.173779157,3.226574736,2.955493079,17126.89404,
HBA_16,128,16,3.43295135,1.021940026,0.017051578,1.830571847,0.130061593,0.246621594,2.769904094,715.75,
HBA_16,128,16,4.172807288,1.044363747,0.016922731,1.839144073,0.1295472,0.251828032,2.703422136,715.75,
HBA_16,128,16,3.875674105,1.027386765,0.017036104,1.8421838,0.130181046,0.248273153,2.754108948,715.75,
HBA_16,128,16,3.827144248,1.031230179,0.017003471,1.837299906,0.129929946,0.248907593,2.742478393,715.75,
HBA_16,256,16,6.438826847,2.029749317,0.018191676,3.559970169,0.132286067,0.470829978,2.823567121,1411.5,
HBA_16,256,16,5.853498855,2.023846755,0.018269119,3.556294136,0.132758379,0.469825521,2.850099255,1411.5,
