log_path,model,seq_len,d_block,d_ffn,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB
05-20-0,Base,64,8,64,8.982001902,2.896243961,4.074556192,0.377762038,0.128165224,2.988404204,54.57421875
05-20-0,Base,64,8,128,8.975410318,2.900658722,4.060354832,0.381117327,0.148153672,3.024828416,58.15234375
05-20-0,Base,64,8,256,8.958682712,2.9023301,4.062234773,0.37585365,0.132290651,3.369083607,65.35546875
05-20-0,Base,128,8,64,8.981294421,2.866387939,4.128086511,0.376830009,0.138728579,2.894168103,142.9257813
05-20-0,Base,128,8,128,9.000459638,2.867914431,4.13546108,0.376487189,0.151423338,3.255338869,149.8789063
05-20-0,Base,128,8,256,8.993478475,2.864017002,4.134324613,0.374610614,0.12891618,3.121523674,163.7915039
05-20-0,Base,256,8,64,8.931301319,2.822601609,4.095261251,0.377993214,0.166032634,4.971601293,472.6289063
05-20-0,Base,256,8,128,8.974680139,2.845439049,4.114016363,0.383587775,0.170076309,4.284932529,486.3320313
05-20-0,Base,256,8,256,8.95699093,2.851781711,4.094884107,0.390666838,0.141740498,3.430512987,513.7446289
05-20-0,Base,512,8,64,11.58596267,3.158761716,7.422637668,0.84000494,0.185578323,4.985407939,1744.035156
05-20-0,Base,512,8,128,11.6813998,3.194201106,7.470286894,0.849346158,0.153792833,4.227969062,1771.238281
05-20-0,Base,512,8,256,11.88388341,3.309488301,7.565390424,0.872734729,0.149505867,3.873932431,1825.650879
05-20-1,Torch,64,8,128,8.085735594,2.794634245,3.627120636,0.205089921,0.122494307,2.718023346,56.53857422
05-20-1,Torch,128,8,128,8.13310919,2.7766056,3.671466442,0.205947905,0.118014251,2.477010554,137.3369141
05-20-1,Torch,256,8,128,8.002227345,2.724314051,3.608357315,0.212683533,0.126347155,3.646812552,426.6337891
05-20-1,Torch,512,8,128,8.841177402,2.510162438,4.758238222,0.33683197,0.131092466,2.850631245,1522.102539
05-20-1,Torch,1024,8,128,22.49886746,6.763424761,14.94863403,0.790670266,0.131407305,2.926562189,5778.790039
05-20-1,Torch,2048,8,128,75.02266293,23.07145399,51.10275221,2.235467095,0.151964609,3.983840994,22548.29004
05-20-2,Linformer,64,8,128,9.596311692,2.989510313,4.458795954,0.397161835,0.121570384,2.63526733,39.50585938
05-20-2,Linformer,128,8,128,9.697305119,3.019885106,4.526084794,0.399888909,0.11549837,2.38162442,61.42041016
05-20-2,Linformer,256,8,128,9.597455488,2.980970415,4.476721825,0.401444002,0.117248422,2.632432429,105.1860352
05-20-2,Linformer,512,8,128,9.515735356,2.928143569,4.4254514,0.406893463,0.129094579,2.67856115,192.7172852
05-20-2,Linformer,1024,8,128,9.370627381,2.879187154,4.306391458,0.470049313,0.140491909,3.149763013,367.7797852
05-20-2,Linformer,2048,8,128,9.572015508,2.615039216,5.035612801,0.735650081,0.224528915,4.167073123,717.9047852
05-20-2,Linformer,4096,8,128,13.61702599,4.066471165,8.522468223,1.216031547,0.307033607,6.561369836,1418.404785
05-20-3,LocalHBA,64,8,128,9.10685213,2.934995696,4.145777008,0.379346129,0.140560323,2.793771009,39.20898438
05-20-3,LocalHBA,128,8,128,9.20045834,2.949592925,4.205812768,0.38462999,0.149073337,2.856566803,61.07666016
05-20-3,LocalHBA,256,8,128,9.090472146,2.893258609,4.14284516,0.384414596,0.151227508,2.937501164,104.7485352
05-20-3,LocalHBA,512,8,128,8.976649609,2.836498886,4.081794239,0.390030379,0.315649794,5.661994498,192.0922852
05-20-3,LocalHBA,1024,8,128,8.839536733,2.764917741,3.99481746,0.46266972,0.636328041,11.07933984,366.7797852
05-20-3,LocalHBA,2048,8,128,9.53328877,2.645849622,5.715039792,0.785796029,1.154508765,26.46730779,716.1547852
05-20-3,LocalHBA,4096,8,128,15.49778136,4.631989472,9.895301699,1.374557336,1.042587272,51.22937175,1415.154785
05-20-4,HBA,64,8,64,15.38045746,4.835528617,7.477535498,0.640696105,0.140654406,2.945875583,37.74804688
05-20-4,HBA,64,8,128,15.36215568,4.885403342,7.444385893,0.630125702,0.14637478,3.035439564,43.18554688
05-20-4,HBA,64,8,256,15.34908295,4.922176398,7.419233362,0.689014313,0.13497178,3.455814816,54.07226563
05-20-4,HBA,128,8,64,15.30737462,4.870840673,7.418850108,0.632091365,0.135931481,3.220512607,57.36914063
05-20-4,HBA,128,8,128,15.33179802,4.852215865,7.461399597,0.68852865,0.139018093,3.173873192,67.86914063
05-20-4,HBA,128,8,256,15.32505337,4.827762493,7.470050129,0.689429398,0.140152462,3.024126066,88.88085938
05-20-4,HBA,256,8,64,15.20863634,4.78609589,7.418790573,0.699778125,0.152919357,3.51861682,98.32226563
05-20-4,HBA,256,8,128,15.20768702,4.7906022,7.413166868,0.702911801,0.145260384,3.61871926,118.9238281
05-20-4,HBA,256,8,256,15.21214725,4.793183215,7.421510488,0.702941788,0.154862057,3.100130183,160.2192383
05-20-4,HBA,512,8,64,14.97099437,4.692961687,7.291326808,0.710224901,0.173468099,3.16317285,191.2290039
05-20-4,HBA,512,8,128,14.972036,4.674992611,7.312010761,0.711335713,0.165658177,3.763286224,230.9946289
05-20-4,HBA,512,8,256,14.98950927,4.682208176,7.316393648,0.716977015,0.161040119,4.21084902,310.5786133
05-20-4,HBA,1024,8,64,14.56786591,4.222171908,7.408090714,0.715391895,0.188326126,3.978664302,415.7446289
05-20-4,HBA,1024,8,128,14.59776715,4.152324414,7.508224071,0.718587878,0.159404462,4.086955038,494.8852539
05-20-4,HBA,1024,8,256,14.62375331,4.03803441,7.674254134,0.714574068,0.197350956,3.865277852,653.1787109
05-20-4,HBA,2048,8,64,15.4393801,3.662114112,9.511561132,1.081521331,1.137144778,39.39089686,1017.775879
05-20-4,HBA,2048,8,128,16.02787359,3.806527069,9.811615223,1.095815501,0.236845252,4.518760085,1175.666504
05-20-4,HBA,2048,8,256,16.99523925,4.256900168,10.25984484,1.232737961,0.347394797,5.720992706,1491.459961
05-20-4,HBA,4096,8,64,24.16451236,7.112630632,15.6600763,2.046232864,0.305251413,9.394805119,2834.088379
05-20-4,HBA,4096,8,128,24.8581428,7.338282343,16.13567671,2.05856043,1.418549158,39.87927537,3149.479004
05-20-4,HBA,4096,8,256,26.30961251,8.12473589,16.80306869,2.245582757,0.26068535,6.033868665,3780.272461
