log_path,model,seq_len,d_block,d_ffn,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB
,,,,,,,,,,,
05-16-0,Base,64,8,64,642.0302747,0.544623975,1.061205447,0.145932125,0.137080677,2.94958084,91.92626953
,,,,,,,,,,,
05-16-0,Base,64,8,128,1281.817,0.546491578,0.847467112,0.147305055,0.140987363,3.063508191,98.87939453
,,,,,,,,,,,
05-16-0,Base,64,8,256,2561.894953,0.556484096,0.91517492,0.157334491,0.139070813,3.246195866,112.9736328
,,,,,,,,,,,
05-16-0,Base,128,8,64,643.854415,1.143686934,2.281910353,0.315349365,0.156397739,3.786338483,268.6293945
,,,,,,,,,,,
05-16-0,Base,128,8,128,1283.985759,1.195147825,2.360893405,0.321768149,0.129333461,2.635479602,282.3325195
,,,,,,,,,,,
05-16-0,Base,128,8,256,2564.277239,1.319991714,2.531959273,0.347350756,0.143744013,2.898654506,309.7451172
,,,,,,,,,,,
05-16-0,Base,256,8,64,6411.705053,3.617219789,7.631994684,0.905158662,0.164806661,4.382843561,928.0356445
,,,,,,,,,,,
05-16-0,Base,256,8,128,12811.95484,3.702437979,7.797912973,0.921993667,0.17954427,3.858213778,955.2387695
,,,,,,,,,,,
05-16-0,Base,256,8,256,25612.48171,3.932659463,8.095666758,0.96784041,0.170941363,3.420878393,1009.651367
,,,,,,,,,,,
05-16-1,Torch,64,8,64,641.8038215,0.497961708,0.949243741,0.086803591,0.127284902,2.793260323,87.22216797
,,,,,,,,,,,
05-16-1,Torch,64,8,128,1281.455115,0.49632283,0.603746957,0.086533159,0.121983475,3.152572108,97.53515625
,,,,,,,,,,,
05-16-1,Torch,64,8,256,2561.620427,0.507937617,0.751079232,0.1020126,0.125881285,2.901884305,117.4316406
,,,,,,,,,,,
05-16-1,Torch,128,8,64,642.5429869,0.807102279,1.374197667,0.146530983,0.122088827,2.612854847,242.4311523
,,,,,,,,,,,
05-16-1,Torch,128,8,128,1282.668307,0.853719025,1.449237401,0.158419905,0.120012824,2.429311248,255.1342773
,,,,,,,,,,,
05-16-1,Torch,128,8,256,2562.943395,0.966766135,1.615834072,0.183622043,0.131260032,2.817349217,288.3222656
,,,,,,,,,,,
05-16-1,Torch,256,8,64,646.9012734,2.398122064,4.087436053,0.347213201,0.128300138,2.968422801,807.2749023
,,,,,,,,,,,
05-16-1,Torch,256,8,128,1287.151664,2.477124677,4.245058941,0.368057275,0.147150665,3.467794184,834.4780273
,,,,,,,,,,,
05-16-1,Torch,256,8,256,2567.678235,2.710425692,4.547025145,0.424278242,0.123901352,2.603915312,888.890625
,,,,,,,,,,,
05-16-1,Torch,512,8,64,6421.704362,7.822302249,13.48710765,0.997169964,0.146373843,3.204935789,2972.962402
,,,,,,,,,,,
05-16-1,Torch,512,8,128,12822.15335,7.964023551,13.80675394,1.041816459,0.124405983,2.712502804,3026.790527
,,,,,,,,,,,
05-16-1,Torch,512,8,256,25623.11119,8.36964577,14.35917189,1.149254579,0.135972713,2.728704364,3135.203125
,,,,,,,,,,,
05-16-1,Torch,1024,8,64,6475.619439,27.5358716,47.68093333,3.155408814,0.130497314,2.766142529,11432.5874
,,,,,,,,,,,
05-16-1,Torch,1024,8,128,12876.46407,27.77604769,48.28454322,3.23009865,0.136147962,3.104508684,11540.79053
,,,,,,,,,,,
05-16-1,Torch,1024,8,256,25678.35807,28.58749964,49.37094631,3.446817557,0.129911363,2.899324908,11757.20313
,,,,,,,,,,,
05-17-0,Linformer,64,8,64,642.011572,0.578431993,0.980727877,0.15398022,0.117309908,2.640325793,51.48046875
,,,,,,,,,,,
05-17-0,Linformer,64,8,128,1281.992195,0.584210034,0.954186015,0.155136113,0.128150504,2.74296844,61.62402344
,,,,,,,,,,,
05-17-0,Linformer,64,8,256,2561.87029,0.580730841,0.836804553,0.154453885,0.127848222,3.062563743,82.02050781
,,,,,,,,,,,
05-17-0,Linformer,128,8,64,641.8826158,0.57786695,0.845584543,0.156631309,0.116414363,2.478694203,85.26171875
,,,,,,,,,,,
05-17-0,Linformer,128,8,128,1281.943752,0.586650842,0.897509247,0.16398494,0.11690917,2.487370008,105.3427734
,,,,,,,,,,,
05-17-0,Linformer,128,8,256,2562.126176,0.661916536,1.009299199,0.188121627,0.119447642,2.666690748,145.7392578
,,,,,,,,,,,
05-17-0,Linformer,256,8,64,642.6865575,0.887129593,1.342388668,0.263365681,0.119613503,2.580792612,152.8242188
,,,,,,,,,,,
05-17-0,Linformer,256,8,128,1282.922814,0.982609147,1.485629972,0.280565605,0.127468719,2.593946786,192.7802734
,,,,,,,,,,,
05-17-0,Linformer,256,8,256,2563.45734,1.187101212,1.813980796,0.321640293,0.125967284,2.686026423,273.1767578
,,,,,,,,,,,
05-17-0,Linformer,512,8,64,645.0514555,1.894897593,2.686761,0.527021185,0.13794091,2.864675014,287.9492188
,,,,,,,,,,,
05-17-0,Linformer,512,8,128,1285.543554,2.062408254,3.013587071,0.556779769,0.139691827,2.890940348,367.6552734
,,,,,,,,,,,
05-17-0,Linformer,512,8,256,2566.625564,2.541531915,3.613037754,0.654217577,0.159106696,2.853739169,528.0517578
,,,,,,,,,,,
05-17-0,Linformer,1024,8,64,649.2400281,3.65096224,5.101175842,0.97794171,0.148686382,3.217105375,558.1992188
,,,,,,,,,,,
05-17-0,Linformer,1024,8,128,12810.12716,3.956224473,5.684585426,1.034109278,0.238587109,4.186540622,717.4052734
,,,,,,,,,,,
05-17-0,Linformer,1024,8,256,25612.21266,4.883855725,6.837102889,1.22315934,0.197629224,3.36135486,1037.801758
,,,,,,,,,,,
05-17-0,Linformer,2048,8,64,6416.674356,6.811493461,9.346921108,1.79119367,0.252192443,5.062191586,1098.949219
,,,,,,,,,,,
05-17-0,Linformer,2048,8,128,12818.27512,7.313482503,10.44304177,1.894200613,0.303288459,6.60008019,1417.155273
,,,,,,,,,,,
05-17-0,Linformer,2048,8,256,25622.15923,8.96233881,12.67721694,2.220823932,0.338495517,6.349292004,2057.551758
,,,,,,,,,,,
05-17-0,Linformer,4096,8,64,6428.241856,11.59861675,16.10024758,3.076852793,0.990775262,33.28174487,2179.699219
,,,,,,,,,,,
05-17-1,LocalHBA,64,8,64,642.2060478,0.540127974,1.245765157,0.144927008,0.144971605,2.906885999,50.93359375
,,,,,,,,,,,
05-17-1,LocalHBA,64,8,128,1281.7648,0.541773684,0.804790787,0.145460155,0.153283429,2.882714229,61.07714844
,,,,,,,,,,,
05-17-1,LocalHBA,64,8,256,2561.727223,0.543401264,0.765450845,0.146337612,0.136828996,3.023964141,81.47363281
,,,,,,,,,,,
05-17-1,LocalHBA,128,8,64,641.9729243,0.543860083,0.999569969,0.163467149,0.160137542,2.968521416,84.66796875
,,,,,,,,,,,
05-17-1,LocalHBA,128,8,128,1282.146124,0.563134128,1.151097,0.170077896,0.151346681,2.953766555,104.7490234
,,,,,,,,,,,
05-17-1,LocalHBA,128,8,256,2562.325016,0.684983952,1.204286133,0.194354228,0.147458238,2.966357129,145.1455078
,,,,,,,,,,,
